age,job,marital,education,has_default,balance,has_housing,has_loan,age_t,balance_sign,balance_t,job_admin,job_bluecollar,job_technician,job_services,job_management,job_retired,job_selfemployed,job_entrepreneur,job_unemployed,job_housemaid,job_student,job_unknown,marital_married,marital_single,marital_divorced,marital_unknown,education_ord,default_bin,housing_bin,loan_bin,target_bin,cluster_k5
59,admin,married,secondary,False,2343,True,False,1.741053345718603,1,0.7676544920000332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
56,admin,married,secondary,False,45,False,False,1.4683752596658706,1,-1.0052225562084316,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
41,technician,married,secondary,False,1270,True,False,0.1049848294022089,1,0.49161644341238053,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2
55,services,married,secondary,False,2476,True,False,1.37748256431496,1,0.792544973770376,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
54,admin,married,tertiary,False,184,False,False,1.2865898689640491,1,-0.3775563976309382,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1
42,management,single,tertiary,False,0,True,True,0.1958775247531197,0,-2.7319479450808406,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,4
56,management,married,tertiary,False,830,True,True,1.4683752596658706,1,0.2999723484759809,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,3
60,retired,divorced,secondary,False,545,True,False,1.8319460410695139,1,0.11054657837791779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
39,technician,single,unknown,False,45248,True,False,-0.07680056129961267,1,2.1027658558197873,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,1,2
37,technician,married,secondary,False,1,True,False,-0.25858595200143425,1,-2.4193370967533547,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4
34,admin,married,secondary,False,869,False,False,-0.5312640380541666,1,0.32065684670813344,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2
55,unemployed,divorced,secondary,False,387,True,False,1.37748256431496,1,-0.04352189594228409,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1
28,services,single,secondary,False,5090,True,False,-1.0766202101596314,1,1.117458683623584,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
30,technician,married,secondary,False,484,True,False,-0.8948348194578097,1,0.05711631890090537,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2
36,technician,married,secondary,False,368,True,True,-0.3494786473523451,1,-0.06616612412317259,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2
37,admin,single,secondary,False,245,True,True,-0.25858595200143425,1,-0.2490317477133803,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
45,blue-collar,married,secondary,False,154,True,False,0.4685556108058521,1,-0.45735252221173905,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2
53,services,divorced,primary,False,-291,True,True,1.1956971736131385,-1,-0.17171994207608207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
38,admin,single,secondary,False,100,True,False,-0.16769325665052345,1,-0.6505188051139956,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
30,blue-collar,married,secondary,False,309,True,False,-0.8948348194578097,1,-0.14474167388425332,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2
29,management,married,tertiary,False,199,True,True,-0.9857275148087206,1,-0.3423955771020614,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,3
46,blue-collar,single,tertiary,False,460,True,False,0.5594483061567629,1,0.03422757885682537,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0
31,technician,single,tertiary,False,703,True,False,-0.8039421241068989,1,0.2251729979172057,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0
39,blue-collar,married,primary,False,70,False,False,-0.07680056129961267,1,-0.8094702810529705,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
35,management,divorced,tertiary,False,3837,True,False,-0.4403713427032558,1,0.990040266824756,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,3
32,blue-collar,single,primary,False,611,True,False,-0.7130494287559882,1,0.16201192171986203,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2
49,services,married,secondary,False,-8,True,False,0.8321263922094952,-1,-1.7409950012454531,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4
41,admin,married,secondary,False,55,True,False,0.1049848294022089,1,-0.9165057963576134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2
49,admin,divorced,secondary,False,168,True,True,0.8321263922094952,1,-0.418352746135223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
28,admin,divorced,secondary,False,785,True,False,-1.0766202101596314,1,0.27486370632101176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2
43,management,single,tertiary,False,2067,True,False,0.28677022010403047,1,0.711154337640604,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,3
43,management,divorced,tertiary,False,388,True,False,0.28677022010403047,1,-0.04236101468200215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,3
43,blue-collar,married,primary,False,-192,True,False,0.28677022010403047,-1,-0.35846350977047725,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2
